algorithm,run,makespan
ACO_main,1,590000.0
ACO_main,2,590000.0
ACO_main,3,635000.0
ACO_main,4,582500.0
ACO_main,5,625000.0
ACO_main,6,605000.0
ACO_main,7,582500.0
ACO_main,8,605000.0
ACO_main,9,626250.0
ACO_main,10,618750.0
ACO_alt,1,558750.0
ACO_alt,2,550000.0
ACO_alt,3,527500.0
ACO_alt,4,551250.0
ACO_alt,5,550000.0
ACO_alt,6,557500.0
ACO_alt,7,545000.0
ACO_alt,8,551250.0
ACO_alt,9,541250.0
ACO_alt,10,520000.0
SHC,1,1910000.0
SHC,2,1940000.0
SHC,3,1880000.0
SHC,4,1890000.0
SHC,5,1900000.0
SHC,6,1970000.0
SHC,7,1890000.0
SHC,8,1870000.0
SHC,9,1940000.0
SHC,10,1880000.0
RR,1,2380000.0
RR,2,2380000.0
RR,3,2380000.0
RR,4,2380000.0
RR,5,2380000.0
RR,6,2380000.0
RR,7,2380000.0
RR,8,2380000.0
RR,9,2380000.0
RR,10,2380000.0
FCFS,1,7700000.0
FCFS,2,7700000.0
FCFS,3,7700000.0
FCFS,4,7700000.0
FCFS,5,7700000.0
FCFS,6,7700000.0
FCFS,7,7700000.0
FCFS,8,7700000.0
FCFS,9,7700000.0
FCFS,10,7700000.0
