algorithm,dataset,total_tasks,makespan,throughput,total_cpu_time,total_wait_time,avg_start_time,avg_exec_time,avg_finish_time,avg_wait_time,imbalance_degree,resource_utilization
ACO_Standard,Low-High_Dataset,29,100.76900000000005,0.33815285613804247,594.559699999998,264.63419999999843,9.130331748275863,20.502058620689585,29.63222372413793,9.125317241379257,1.616362905535075,0.4571425618570052
ACO_Standard,Random_Simple_Dataset,48,78.20000000000019,0.7062063295499742,771.1799000000026,940.3642000000011,19.038105389579933,15.605216947278965,34.64299783310374,19.033600399659882,1.9248277783301493,0.7383444387012474
ACO_Standard,Stratified_Random_Dataset,249,97.8842999999999,3.0615608489473507,724.1735000000008,6130.483299999968,24.577150971320485,2.9020491389558267,27.479198191620885,24.567677508433608,2.024176524528283,0.579189160953524
Stochastic_Hill_Climbing,Low-High_Dataset,28,154.07660000000033,0.25017676198410077,584.6166000000015,359.1581999999995,12.642165348253055,20.50760598430949,33.150344532717575,12.637128612479458,1.3144748633333827,0.33142331223931587
Stochastic_Hill_Climbing,Random_Simple_Dataset,47,213.30222222222176,0.19955064322091626,647.9892222222198,792.1211111111081,16.457712534567488,14.932907708014401,31.391093616612196,25.805347869836623,1.3804448247560392,0.20968154622407054
Stochastic_Hill_Climbing,Stratified_Random_Dataset,249,202.39209999999986,1.6894896076709898,664.2723999999973,9473.336399999993,38.16115756314333,2.6740282098198054,40.83522409264896,38.15611050740394,0.839621888856926,0.2889842909364834
Round_Robin,Low-High_Dataset,26,247.2438000000002,0.10093590517933985,418.4520999999957,853.0815999999948,34.145073525,17.3455304487178,51.49061655288462,36.24355064102537,1.391377121733147,0.11454874273350676
Round_Robin,Random_Simple_Dataset,42,508.4124,0.08885707562683363,598.4853000000028,2497.344000000013,58.3298314893668,14.003723243776852,72.3332054569228,58.32407990635111,0.46450463190894525,0.08184208238760848
Round_Robin,Stratified_Random_Dataset,247,301.44680000000005,0.8571001145829877,691.1602000000039,14190.773400000093,57.42434719048747,2.796172157829453,60.220506584426026,57.41688560467583,0.989295731808544,0.15764141099004375
FCFS,Low-High_Dataset,28,138.73579999999964,0.21914509287407005,480.2420999999966,150.5091999999986,5.380123489285714,17.151503571428446,22.531521635714284,5.37532857142852,1.2370700173511833,0.2502251751576182
FCFS,Random_Simple_Dataset,48,161.40009999999967,0.32780145529016547,746.0924999999949,844.5299999999916,17.682123102229884,15.610646053155197,33.29268368101299,17.67475783127063,1.6584256089562743,0.3361286125973579
FCFS,Stratified_Random_Dataset,248,211.61569999999992,1.1799350835759963,634.5499999999938,6604.206899999958,26.63766928467742,2.5586693548386847,29.196290012096775,26.6298665322579,1.2526418995213495,0.20084445232772924
